t=6366.79s | axis_7 | error → normal | residual=-1.20
t=6374.64s | axis_7 | normal → error | residual=5.84
t=6376.51s | axis_7 | error → normal | residual=-2.22
t=6380.25s | axis_7 | normal → error | residual=5.19
t=6384.11s | axis_7 | error → normal | residual=-2.01
t=6425.37s | axis_7 | normal → error | residual=5.85
t=6427.33s | axis_7 | error → alert | residual=2.26
t=6429.18s | axis_7 | alert → error | residual=5.79
t=6431.14s | axis_7 | error → normal | residual=-2.14
t=6434.92s | axis_7 | normal → error | residual=5.83
t=6436.88s | axis_7 | error → normal | residual=-2.21
t=6438.79s | axis_7 | normal → error | residual=5.82
t=6442.60s | axis_7 | error → normal | residual=-2.09
t=6448.32s | axis_7 | normal → alert | residual=1.02
t=6450.32s | axis_7 | alert → normal | residual=-1.87
t=6480.12s | axis_7 | normal → error | residual=5.55
t=6484.00s | axis_7 | error → normal | residual=-2.50
t=6489.71s | axis_7 | normal → error | residual=5.91
t=6491.67s | axis_7 | error → normal | residual=-0.98
t=6493.57s | axis_7 | normal → error | residual=4.62
t=6495.50s | axis_7 | error → normal | residual=-1.77
t=6497.40s | axis_7 | normal → error | residual=5.13
t=6499.30s | axis_7 | error → normal | residual=-2.20
t=6529.65s | axis_7 | normal → error | residual=5.63
t=6531.57s | axis_7 | error → normal | residual=-0.94
t=6533.50s | axis_7 | normal → error | residual=5.90
t=6541.16s | axis_7 | error → normal | residual=-2.23
t=6543.11s | axis_7 | normal → error | residual=5.64
t=6546.95s | axis_7 | error → normal | residual=-2.32
t=6581.42s | axis_7 | normal → error | residual=5.97
t=6587.19s | axis_7 | error → normal | residual=-2.74
t=6591.01s | axis_7 | normal → error | residual=5.43
t=6592.82s | axis_7 | error → normal | residual=-1.18
t=6594.72s | axis_7 | normal → error | residual=5.97
t=6598.52s | axis_7 | error → normal | residual=-1.33
t=6605.93s | axis_7 | normal → alert | residual=1.29
t=6607.80s | axis_7 | alert → normal | residual=-1.45
t=6635.92s | axis_7 | normal → error | residual=5.83
t=6637.91s | axis_7 | error → normal | residual=-0.27
t=6645.48s | axis_7 | normal → error | residual=5.91
t=6647.41s | axis_7 | error → normal | residual=-2.33
t=6649.29s | axis_7 | normal → alert | residual=1.81
t=6651.22s | axis_7 | alert → normal | residual=-0.08
t=6657.00s | axis_7 | normal → alert | residual=2.76
t=6658.94s | axis_7 | alert → normal | residual=-2.63
t=6685.62s | axis_7 | normal → error | residual=5.63
t=6689.37s | axis_7 | error → normal | residual=-2.33
t=6695.15s | axis_7 | normal → error | residual=5.77
t=6696.98s | axis_7 | error → normal | residual=-2.19
t=6700.82s | axis_7 | normal → error | residual=4.80
t=6704.60s | axis_7 | error → normal | residual=-2.24
t=6738.84s | axis_7 | normal → error | residual=5.39
t=6742.65s | axis_7 | error → normal | residual=-2.17
t=6748.36s | axis_7 | normal → error | residual=5.74
t=6750.23s | axis_7 | error → normal | residual=-1.78
t=6753.99s | axis_7 | normal → error | residual=5.12
t=6757.81s | axis_7 | error → normal | residual=-2.28
t=6790.07s | axis_7 | normal → error | residual=5.68
t=6792.00s | axis_7 | error → normal | residual=-2.08
t=6799.64s | axis_7 | normal → error | residual=5.84
t=6801.59s | axis_7 | error → normal | residual=-0.62
t=6805.56s | axis_7 | normal → error | residual=5.27
t=6809.30s | axis_7 | error → normal | residual=-1.22
t=6843.57s | axis_7 | normal → error | residual=5.63
t=6845.48s | axis_7 | error → normal | residual=-0.89
t=6853.14s | axis_7 | normal → error | residual=5.13
t=6855.05s | axis_7 | error → normal | residual=0.55
t=6896.84s | axis_7 | normal → error | residual=5.49
t=6898.80s | axis_7 | error → alert | residual=1.86
t=6900.78s | axis_7 | alert → normal | residual=-2.42
t=6906.55s | axis_7 | normal → error | residual=5.67
t=6908.45s | axis_7 | error → normal | residual=-2.44
t=6910.39s | axis_7 | normal → error | residual=4.43
t=6912.28s | axis_7 | error → normal | residual=-1.87
t=6918.01s | axis_7 | normal → alert | residual=2.60
t=6920.00s | axis_7 | alert → normal | residual=-1.66
t=6946.29s | axis_7 | normal → error | residual=5.70
t=6948.20s | axis_7 | error → normal | residual=-1.58
t=6950.14s | axis_7 | normal → error | residual=5.46
t=6952.05s | axis_7 | error → normal | residual=-2.16
t=6955.91s | axis_7 | normal → error | residual=5.85
t=6957.91s | axis_7 | error → normal | residual=-0.57
t=6959.81s | axis_7 | normal → error | residual=5.56
t=6963.72s | axis_7 | error → normal | residual=-2.35
t=6969.52s | axis_7 | normal → alert | residual=1.23
t=6971.41s | axis_7 | alert → normal | residual=-2.08
t=7043.38s | axis_7 | normal → error | residual=5.72
t=7045.27s | axis_7 | error → normal | residual=-1.00
t=7057.03s | axis_7 | normal → error | residual=4.83
t=7058.95s | axis_7 | error → normal | residual=-2.25
t=7095.04s | axis_7 | normal → error | residual=5.34
t=7097.00s | axis_7 | error → normal | residual=-2.13
t=7104.83s | axis_7 | normal → error | residual=5.57
t=7106.70s | axis_7 | error → normal | residual=-1.52
t=7116.26s | axis_7 | normal → alert | residual=2.54
t=7195.71s | axis_7 | alert → normal | residual=-2.15
t=7199.54s | axis_7 | normal → error | residual=5.74
t=7201.45s | axis_7 | error → normal | residual=-1.74
t=7203.31s | axis_7 | normal → error | residual=5.50
t=7205.20s | axis_7 | error → normal | residual=-2.49
t=7209.04s | axis_7 | normal → error | residual=6.00
t=7216.92s | axis_7 | error → normal | residual=-2.17
t=7250.93s | axis_7 | normal → error | residual=5.63
t=7252.84s | axis_7 | error → normal | residual=-0.75
t=7254.80s | axis_7 | normal → error | residual=5.85
t=7256.73s | axis_7 | error → normal | residual=-2.32
t=7260.48s | axis_7 | normal → error | residual=5.91
t=7262.34s | axis_7 | error → alert | residual=1.09
t=7264.25s | axis_7 | alert → error | residual=5.89
t=7268.15s | axis_7 | error → normal | residual=-1.44
t=7273.84s | axis_7 | normal → alert | residual=1.06
t=7275.73s | axis_7 | alert → normal | residual=-2.34
t=7323.36s | axis_7 | normal → error | residual=5.89
t=7325.32s | axis_7 | error → normal | residual=-1.15
t=7331.00s | axis_7 | normal → error | residual=5.19
t=7332.89s | axis_7 | error → normal | residual=-1.56
t=7380.21s | axis_7 | normal → error | residual=5.08
t=7382.09s | axis_7 | error → normal | residual=-1.24
t=7418.18s | axis_7 | normal → alert | residual=1.25
t=7420.09s | axis_7 | alert → normal | residual=-1.60
t=7427.75s | axis_7 | normal → error | residual=5.58
t=7429.79s | axis_7 | error → normal | residual=-1.74
t=7431.74s | axis_7 | normal → error | residual=4.78
t=7433.71s | axis_7 | error → normal | residual=-1.95
t=7467.86s | axis_7 | normal → error | residual=5.67
t=7469.76s | axis_7 | error → normal | residual=-1.03
t=7477.46s | axis_7 | normal → error | residual=5.50
t=7479.36s | axis_7 | error → normal | residual=0.34
t=7483.24s | axis_7 | normal → error | residual=4.97
t=7487.10s | axis_7 | error → normal | residual=-1.88
t=7528.52s | axis_7 | normal → error | residual=5.65
t=7532.35s | axis_7 | error → normal | residual=-2.32
t=7536.21s | axis_7 | normal → alert | residual=1.67
t=7538.07s | axis_7 | alert → error | residual=5.56
t=7540.05s | axis_7 | error → normal | residual=-1.26
t=7545.64s | axis_7 | normal → error | residual=5.24
t=7547.61s | axis_7 | error → normal | residual=-1.77
t=7577.82s | axis_7 | normal → error | residual=5.70
t=7579.79s | axis_7 | error → normal | residual=-1.70
t=7581.67s | axis_7 | normal → error | residual=5.82
t=7583.57s | axis_7 | error → normal | residual=-2.30
t=7587.48s | axis_7 | normal → error | residual=5.88
t=7595.06s | axis_7 | error → normal | residual=-1.43
t=7600.84s | axis_7 | normal → alert | residual=1.20
t=7602.75s | axis_7 | alert → normal | residual=-0.17
t=7644.41s | axis_7 | normal → error | residual=5.66
t=7646.33s | axis_7 | error → normal | residual=-1.84
