t=6589.11s | axis_2 | error → normal | residual=-8.59
t=6591.01s | axis_2 | normal → alert | residual=11.51
t=6592.82s | axis_2 | alert → normal | residual=2.21
t=6651.22s | axis_2 | normal → alert | residual=12.29
t=6655.10s | axis_2 | alert → normal | residual=-6.21
t=6683.69s | axis_2 | normal → alert | residual=13.60
t=6685.62s | axis_2 | alert → normal | residual=0.73
t=6693.24s | axis_2 | normal → error | residual=22.69
t=6695.15s | axis_2 | error → normal | residual=-6.80
t=6704.60s | axis_2 | normal → alert | residual=12.35
t=6706.56s | axis_2 | alert → normal | residual=9.40
t=6746.44s | axis_2 | normal → alert | residual=16.10
t=6748.36s | axis_2 | alert → normal | residual=-8.99
t=6799.64s | axis_2 | normal → alert | residual=16.75
t=6801.59s | axis_2 | alert → normal | residual=1.72
t=6809.30s | axis_2 | normal → error | residual=30.88
t=6811.26s | axis_2 | error → normal | residual=9.29
t=6851.22s | axis_2 | normal → alert | residual=17.87
t=6853.14s | axis_2 | alert → normal | residual=-5.21
t=6856.96s | axis_2 | normal → alert | residual=12.93
t=6862.64s | axis_2 | alert → normal | residual=-3.79
t=6912.28s | axis_2 | normal → alert | residual=18.55
t=6914.23s | axis_2 | alert → error | residual=24.50
t=6916.14s | axis_2 | error → normal | residual=-5.84
t=6952.05s | axis_2 | normal → error | residual=31.09
t=6953.95s | axis_2 | error → normal | residual=-7.65
t=6967.59s | axis_2 | normal → alert | residual=11.86
t=6969.52s | axis_2 | alert → normal | residual=-6.10
t=7047.26s | axis_2 | normal → alert | residual=10.56
t=7049.11s | axis_2 | alert → normal | residual=1.82
t=7091.14s | axis_2 | normal → alert | residual=15.33
t=7093.12s | axis_2 | alert → normal | residual=1.75
t=7095.04s | axis_2 | normal → alert | residual=13.57
t=7097.00s | axis_2 | alert → normal | residual=2.48
t=7205.20s | axis_2 | normal → error | residual=33.68
t=7207.14s | axis_2 | error → normal | residual=-8.40
t=7209.04s | axis_2 | normal → alert | residual=14.01
t=7211.02s | axis_2 | alert → normal | residual=3.74
t=7213.04s | axis_2 | normal → alert | residual=15.96
t=7215.00s | axis_2 | alert → normal | residual=-3.21
t=7264.25s | axis_2 | normal → alert | residual=10.74
t=7266.14s | axis_2 | alert → normal | residual=7.12
t=7271.96s | axis_2 | normal → alert | residual=14.83
t=7273.84s | axis_2 | alert → normal | residual=5.81
t=7321.44s | axis_2 | normal → error | residual=25.84
t=7323.36s | axis_2 | error → normal | residual=-0.51
t=7332.89s | axis_2 | normal → error | residual=34.45
t=7334.77s | axis_2 | error → normal | residual=-7.01
t=7380.21s | axis_2 | normal → alert | residual=14.40
t=7385.92s | axis_2 | alert → normal | residual=0.99
t=7526.55s | axis_2 | normal → alert | residual=11.93
t=7528.52s | axis_2 | alert → normal | residual=0.84
t=7547.61s | axis_2 | normal → error | residual=32.93
t=7549.52s | axis_2 | error → normal | residual=-8.06
t=7583.57s | axis_2 | normal → error | residual=34.26
t=7585.53s | axis_2 | error → normal | residual=-7.78
t=7598.92s | axis_2 | normal → alert | residual=17.31
t=7600.84s | axis_2 | alert → normal | residual=3.28
t=7703.41s | axis_2 | normal → alert | residual=15.95
t=7705.31s | axis_2 | alert → normal | residual=-5.08
t=7741.45s | axis_2 | normal → error | residual=35.34
t=7743.40s | axis_2 | error → normal | residual=-8.41
